Start date,Start time,End date,End time,Start location,Start coordinates,End location,End coordinates,Duration (HH:MM),Distance(km),Efficiency(L/100km),Average speed(km/h),PHEV Fuel efficiency(L/100km),EV Distance(km)
"11/02/2023","18:11","11/02/2023","18:31","Brookwater Pde 25-27,3975 Melbourne,Australia","-38.07770166666667,145.24941777777778","Pebble Ave 19,3975 Melbourne,Australia","-38.07716555555555,145.25538722222223","00:20","18.2","3.6","57.0","3.6","12.4"
"10/02/2023","19:37","10/02/2023","19:58","Cadles Rd 1,3201 Melbourne,Australia","-38.10170055555555,145.18556388888888","Pebble Ave 19,3975 Melbourne,Australia","-38.077172222222224,145.25534277777777","00:21","17.1","1.7","54.0","1.7","14.6"
"10/02/2023","19:00","10/02/2023","19:14","Pebble Ave 19,3975 Melbourne,Australia","-38.07716083333333,145.25536555555556","Cadles Rd 1,3201 Melbourne,Australia","-38.10167694444444,145.1855625","00:14","9.3","1.1","42.0","1.1","8.4"
"10/02/2023","08:16","10/02/2023","08:33","Riverend Rd 65,3175 Melbourne,Australia","-38.05025305555556,145.14900083333333","Pebble Ave 21,3975 Melbourne,Australia","-38.077196388888886,145.25534972222223","00:17","13.6","4.0","50.0","4.0","8.5"
"10/02/2023","07:50","10/02/2023","08:12","Pebble Ave 21,3975 Melbourne,Australia","-38.07724666666667,145.25534972222223","Riverend Rd 65,3175 Melbourne,Australia","-38.05025444444444,145.1490036111111","00:22","16.5","2.5","46.0","2.5","13.5"
"09/02/2023","15:29","09/02/2023","15:48","Riverend Rd 65,3175 Melbourne,Australia","-38.05023972222222,145.14875111111112","Pebble Ave 21,3975 Melbourne,Australia","-38.0772,145.25537916666667","00:19","13.7","2.2","46.0","2.2","10.8"
"09/02/2023","14:42","09/02/2023","15:05","Pebble Ave 19,3975 Melbourne,Australia","-38.07716194444444,145.2553861111111","Riverend Rd 65,3175 Melbourne,Australia","-38.05022944444445,145.14875111111112","00:23","14.3","3.6","41.0","3.6","8.9"
"09/02/2023","08:37","09/02/2023","09:00","Riverend Rd 65,3175 Melbourne,Australia","-38.050216666666664,145.1485225","Pebble Ave 21,3975 Melbourne,Australia","-38.07718972222222,145.25534277777777","00:23","14.1","4.4","40.0","4.4","8.5"
"09/02/2023","08:02","09/02/2023","08:32","Pebble Ave 17,3975 Melbourne,Australia","-38.07702638888889,145.25556138888888","Riverend Rd 65,3175 Melbourne,Australia","-38.050224722222225,145.14851972222223","00:30","16.4","2.5","36.0","2.5","12.5"
"05/02/2023","14:55","05/02/2023","15:01","Thompsons Rd 1000,3977 Melbourne,Australia","-38.07814,145.250305","Pebble Ave 21,3975 Melbourne,Australia","-38.07720194444445,145.2553761111111","00:06","2.7","0.0","25.0","0.0","2.7"
"05/02/2023","14:16","05/02/2023","14:24","Hall Rd 570,3977 Melbourne,Australia","-38.10886111111111,145.23366","Marriott Blvd 29I,3975 Melbourne,Australia","-38.07702527777778,145.25068","00:08","5.5","5.6","45.0","5.6","2.9"
"05/02/2023","14:04","05/02/2023","14:13","Pebble Ave 21,3975 Melbourne,Australia","-38.077307222222224,145.25532027777777","Hall Rd 570,3977 Melbourne,Australia","-38.1088125,145.2337425","00:09","5.1","5.8","39.0","5.8","3.4"
"04/02/2023","21:21","04/02/2023","21:37","Westbourne St 49S,3978 Melbourne,Australia","-38.118183888888886,145.3346725","Pebble Ave 19,3975 Melbourne,Australia","-38.0771825,145.25540972222223","00:16","10.7","2.6","43.0","2.6","8.7"
"04/02/2023","20:20","04/02/2023","20:25","Westbourne St 49S,3978 Melbourne,Australia","-38.1181625,145.3346725","Westbourne St 49S,3978 Melbourne,Australia","-38.118164722222225,145.33468194444444","00:05","1.9","5.2","29.0","5.2","1.2"
"04/02/2023","17:16","04/02/2023","17:32","Thompsons Rd 1260,3977 Melbourne,Australia","-38.082053055555555,145.27767527777777","Westbourne St 32,3978 Melbourne,Australia","-38.11817,145.33471555555556","00:16","8.7","2.0","35.0","2.0","7.4"
"04/02/2023","17:02","04/02/2023","17:15","Thompsons Rd 1000,3977 Melbourne,Australia","-38.07830861111111,145.25010916666668","Thompsons Rd 1260,3977 Melbourne,Australia","-38.082053333333334,145.277675","00:13","3.2","9.5","17.0","9.5","1.3"
"03/02/2023","18:17","03/02/2023","18:27","South Gippsland Hwy 350-398,3977 Melbourne,Australia","-38.08659138888889,145.27944416666668","Brookwater Pde 19,3975 Melbourne,Australia","-38.07772861111111,145.24910083333333","00:10","3.2","0.0","21.0","0.0","3.2"
